Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.390500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.390600E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.390700E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.390800E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.390900E-01,+9.200001E-01,+1.256000E+01,+1.052000E+01
+4.391000E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.391100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.391200E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.391300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.391400E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.391500E-01,+1.000000E+00,+1.248000E+01,+1.052000E+01
+4.391600E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.391700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.391800E-01,+1.240000E+00,+1.280000E+01,+1.052000E+01
+4.391900E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.392000E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.392100E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.392200E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.392300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.392400E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.392500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.392600E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.392700E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.392800E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.392900E-01,+1.160000E+00,+1.256000E+01,+1.052000E+01
+4.393000E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.393100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.393200E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.393300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.393400E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.393500E-01,+1.240000E+00,+1.264000E+01,+1.052000E+01
+4.393600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.393700E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.393800E-01,+9.200001E-01,+1.264000E+01,+1.052000E+01
+4.393900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.394000E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.394100E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.394200E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.394300E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.394400E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.394500E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
